loss_train,loss_test,acc_train,acc_test
2.2327,1.9971,0.13926,0.2687
1.9476,1.885,0.28478,0.315
1.8591,1.8051,0.32494,0.3459
1.7828,1.7345,0.35744,0.3757
1.7125,1.6711,0.38302,0.3982
1.647,1.6124,0.40632,0.4166
1.6028,1.5751,0.422,0.4347
1.5668,1.5378,0.43686,0.4434
1.5337,1.523,0.44846,0.4554
1.5067,1.5038,0.45654,0.4601
1.4787,1.4613,0.46958,0.4787
1.4544,1.4408,0.47862,0.4845
1.4347,1.4237,0.48616,0.4882
1.4201,1.4297,0.49058,0.4864
1.401,1.4001,0.50008,0.4977
1.3856,1.4038,0.5027,0.5025
1.3735,1.3786,0.5098,0.5078
1.3595,1.3646,0.51444,0.5126
1.3472,1.3648,0.5177,0.5123
1.3368,1.3482,0.52184,0.5199
1.3231,1.3439,0.5274,0.5212
1.3129,1.3311,0.52944,0.5264
1.3033,1.353,0.53384,0.5123
1.2959,1.3189,0.53712,0.5236
1.2804,1.2989,0.5437,0.5362
1.274,1.2974,0.54444,0.539
1.2662,1.3115,0.54714,0.5286
1.2591,1.2862,0.54804,0.5353
1.2484,1.3096,0.55552,0.5267
1.2428,1.3052,0.55576,0.53
1.2332,1.2679,0.5588,0.5465
1.2267,1.2596,0.56326,0.5504
1.2203,1.255,0.5657,0.5498
1.2109,1.2492,0.56816,0.549
1.203,1.2556,0.57242,0.5514
1.1994,1.2453,0.57264,0.5526
1.1937,1.2435,0.57472,0.5547
1.1867,1.2338,0.5786,0.5559
1.1801,1.2306,0.58032,0.5579
1.1752,1.2468,0.58288,0.5568
1.1703,1.2509,0.58488,0.5552
1.1653,1.2303,0.58582,0.5575
1.16,1.2223,0.58642,0.5595
1.1547,1.229,0.59106,0.5602
1.1522,1.2127,0.59278,0.5644
1.1441,1.2022,0.59506,0.5686
1.1412,1.2128,0.59472,0.5667
1.1396,1.2139,0.59436,0.5653
1.1307,1.2102,0.59918,0.5659
1.1251,1.1966,0.60082,0.5703
