loss_train,loss_test,acc_train,acc_test
2.3051,2.3027,0.09774,0.1
2.3028,2.3024,0.1019,0.1451
2.228,2.0342,0.15382,0.2655
1.9625,1.8231,0.28302,0.3406
1.8069,1.7668,0.34342,0.3618
1.7199,1.6689,0.37652,0.3966
1.6668,1.6327,0.39974,0.4078
1.6214,1.6058,0.418,0.414
1.5826,1.5673,0.43462,0.4355
1.5498,1.5249,0.44496,0.4534
1.5209,1.5398,0.45726,0.4527
1.4935,1.4797,0.47018,0.4671
1.4673,1.4629,0.47982,0.4727
1.4446,1.4933,0.48898,0.4607
1.4264,1.4639,0.49378,0.4754
1.3997,1.4553,0.5041,0.4818
1.3877,1.4424,0.50876,0.4831
1.3709,1.4345,0.51538,0.4822
1.3542,1.3904,0.5223,0.4993
1.3409,1.3997,0.52882,0.5011
1.33,1.3774,0.53024,0.5074
1.3184,1.3784,0.53548,0.5075
1.3008,1.3987,0.5436,0.5022
1.2921,1.3626,0.54654,0.5119
1.2824,1.3663,0.55162,0.5165
1.2704,1.367,0.55454,0.5107
1.2643,1.3567,0.55766,0.5148
1.2479,1.3686,0.56142,0.5156
1.2424,1.3597,0.56418,0.518
1.2299,1.3618,0.5699,0.5166
1.2223,1.3346,0.57024,0.526
1.2151,1.3468,0.5761,0.5249
1.2046,1.3165,0.57794,0.5298
1.2045,1.327,0.57864,0.5289
1.1889,1.3272,0.58496,0.5318
1.1868,1.3208,0.58364,0.532
1.1766,1.3299,0.58946,0.5295
1.1689,1.3503,0.591,0.5207
1.1674,1.3107,0.5942,0.5385
1.1571,1.2955,0.59654,0.5421
1.1542,1.2924,0.59832,0.5433
1.1478,1.3294,0.60082,0.5354
1.1395,1.3095,0.60364,0.5404
1.1339,1.292,0.60454,0.5442
1.1321,1.3094,0.60332,0.5395
1.1218,1.2877,0.61002,0.5465
1.117,1.2786,0.6126,0.5534
1.114,1.2731,0.61228,0.5543
1.1092,1.2922,0.61434,0.5465
1.1023,1.3085,0.61594,0.5457
