loss_train,loss_test,acc_train,acc_test
2.231,1.9847,0.13856,0.2598
1.9502,1.9006,0.27878,0.3018
1.8789,1.8345,0.31008,0.3296
1.7889,1.7259,0.34842,0.3691
1.7081,1.6568,0.37774,0.3931
1.6527,1.6332,0.39532,0.4013
1.6149,1.6176,0.41158,0.4137
1.5801,1.5494,0.42248,0.4344
1.5507,1.5399,0.4352,0.4288
1.5278,1.5092,0.4447,0.4536
1.5041,1.484,0.45306,0.458
1.4896,1.4754,0.45838,0.4595
1.4699,1.4573,0.46574,0.4701
1.4537,1.4568,0.472,0.4684
1.4366,1.4459,0.47836,0.4817
1.4208,1.4424,0.48336,0.4842
1.4015,1.3872,0.49126,0.497
1.3908,1.3967,0.49552,0.4917
1.3738,1.3701,0.50222,0.5055
1.3555,1.3622,0.50982,0.5044
1.3509,1.3431,0.51126,0.516
1.3366,1.3523,0.5164,0.5139
1.3176,1.3269,0.5262,0.5247
1.3082,1.3153,0.5269,0.5251
1.298,1.3101,0.53064,0.5291
1.2918,1.3117,0.5357,0.535
1.2794,1.2936,0.54006,0.5362
1.2696,1.3057,0.54498,0.5327
1.2628,1.2855,0.54772,0.5416
1.2562,1.2845,0.54758,0.5363
1.2463,1.2788,0.55494,0.5418
1.2384,1.2594,0.55738,0.5485
