loss_train,loss_test,acc_train,acc_test
1.0489,0.2729,0.7447,0.9216
0.2182,0.165,0.9360833333333334,0.9537
0.1438,0.1119,0.9572,0.9675
0.1087,0.0822,0.9674,0.9758
0.0885,0.0716,0.9735833333333334,0.9778
0.0771,0.0632,0.9769666666666666,0.9809
0.0675,0.0557,0.9798333333333333,0.9818
0.0618,0.0555,0.98165,0.9826
0.0561,0.0466,0.9828,0.9854
0.0517,0.0457,0.9846833333333334,0.9847
0.0474,0.044,0.9857666666666667,0.986
0.0445,0.0405,0.9864833333333334,0.9872
0.0421,0.0392,0.9873166666666666,0.9877
0.04,0.0396,0.9881333333333333,0.9867
0.0377,0.0365,0.9887833333333333,0.988
0.035,0.0356,0.9894666666666667,0.988
0.0333,0.0364,0.9902833333333333,0.9878
0.032,0.0347,0.9901333333333333,0.988
0.0303,0.0325,0.9905666666666667,0.9899
0.0285,0.0319,0.9916166666666667,0.9893
0.0273,0.033,0.992,0.9882
0.0262,0.03,0.9919666666666667,0.9898
0.0251,0.0303,0.9924833333333334,0.9899
0.0239,0.0314,0.99295,0.989
0.0231,0.0286,0.9932666666666666,0.9909
0.0222,0.0289,0.9932166666666666,0.9907
0.0209,0.0297,0.9937833333333334,0.99
0.0205,0.0272,0.9939166666666667,0.9907
0.0196,0.0348,0.9940833333333333,0.9881
0.0186,0.0285,0.9946833333333334,0.9909
0.0181,0.0277,0.9946833333333334,0.9907
0.0171,0.027,0.99515,0.9906
0.0166,0.0282,0.9953,0.9905
0.0159,0.0282,0.9955333333333334,0.9906
0.0155,0.0257,0.99545,0.9915
0.015,0.0279,0.9956333333333334,0.9907
0.0141,0.0283,0.9960833333333333,0.9908
0.0139,0.0287,0.9963,0.9906
0.0127,0.0262,0.9965833333333334,0.9908
0.0128,0.0262,0.9962833333333333,0.9908
0.012,0.0277,0.9968,0.9903
0.0116,0.026,0.9968333333333333,0.9916
0.0112,0.0294,0.9971333333333333,0.9906
0.011,0.0269,0.99675,0.9908
0.0105,0.0276,0.9973333333333333,0.9904
0.0097,0.0273,0.99775,0.9904
0.0095,0.0267,0.9976333333333334,0.9913
0.0094,0.0281,0.99775,0.991
0.0089,0.0282,0.99775,0.9911
0.0085,0.0263,0.9981,0.9912
