loss_train,loss_test,acc_train,acc_test
1.0653,0.275,0.76055,0.9208
0.2093,0.1537,0.9385333333333333,0.9535
0.1356,0.1013,0.9606,0.9705
0.1022,0.079,0.9697166666666667,0.9763
0.0844,0.0672,0.9747166666666667,0.9785
0.0729,0.0576,0.97805,0.9808
0.0645,0.052,0.9804,0.9834
0.0583,0.0516,0.98255,0.9839
0.054,0.0457,0.98395,0.9848
0.0498,0.0439,0.9848333333333333,0.9851
0.0465,0.0411,0.9857833333333333,0.9861
0.0427,0.0371,0.9870666666666666,0.9879
0.0405,0.0374,0.9875666666666667,0.9871
0.0375,0.0346,0.9888,0.9878
0.0362,0.0323,0.9891,0.9888
0.0344,0.0368,0.9896166666666667,0.9873
0.0331,0.0312,0.9902333333333333,0.9894
0.031,0.0319,0.9907,0.9893
0.0298,0.0309,0.9911166666666666,0.9898
0.0283,0.0302,0.9913166666666666,0.9898
0.0274,0.0283,0.9915833333333334,0.9902
0.0262,0.0316,0.9923333333333333,0.9886
0.0252,0.0291,0.99225,0.9911
0.0236,0.0276,0.9930166666666667,0.9903
0.0228,0.028,0.9933,0.9904
0.0219,0.0294,0.9936333333333334,0.9896
0.0213,0.0285,0.9935166666666667,0.9897
0.0207,0.0268,0.9936666666666667,0.9909
0.0193,0.0273,0.9943833333333333,0.9902
0.0187,0.0264,0.9947666666666667,0.9909
0.0182,0.0265,0.99465,0.991
0.017,0.0256,0.9949666666666667,0.9911
0.0164,0.027,0.9951,0.9904
0.0159,0.0264,0.9954833333333334,0.991
0.0152,0.0265,0.9955166666666667,0.9909
0.0147,0.0268,0.99595,0.9917
0.014,0.0267,0.9963166666666666,0.9907
0.0134,0.0245,0.99635,0.9916
0.0133,0.0272,0.9963,0.9903
0.0123,0.0246,0.99685,0.9911
0.0123,0.0259,0.9967166666666667,0.9914
0.0115,0.0248,0.9970666666666667,0.9913
0.0111,0.0258,0.9971833333333333,0.9904
0.0107,0.0254,0.9975666666666667,0.9916
0.0106,0.0245,0.9973833333333333,0.9915
0.0099,0.0284,0.9975,0.9905
0.0099,0.0248,0.9973166666666666,0.9913
0.0092,0.0253,0.9978166666666667,0.9914
0.0089,0.0258,0.998,0.9911
0.0086,0.026,0.9981333333333333,0.9914
