accuracy,loss
0.85,1.0360403060913086
0.8,0.28897498548030853
1.0,0.017074895091354847
1.0,0.0007685269811190665
1.0,6.374093754857313e-05
1.0,1.257978055946296e-05
1.0,2.7052091354562435e-05
1.0,5.677725675923284e-05
1.0,1.024518769554561e-05
1.0,2.8265350238143583e-06
1.0,4.242717068336788e-06
1.0,4.532343609753298e-06
1.0,3.4348925055383006e-06
1.0,8.758024705457501e-06
1.0,9.210694770445116e-06
1.0,2.1686749391847115e-06
1.0,7.201651214927551e-06
1.0,1.752720618242165e-05
1.0,1.5381912817247212e-05
1.0,2.394030616414966e-05
1.0,1.09849142972962e-05
1.0,1.2247266113263322e-05
1.0,1.745766530802939e-05
1.0,2.261912459289306e-05
1.0,1.898502262065449e-06
1.0,8.84721248439746e-06
1.0,8.99150609257049e-06
1.0,1.0158340955968015e-05
1.0,3.885090336552821e-06
1.0,0.0012605333358806092
1.0,3.982344765063317e-06
1.0,9.206722552335123e-06
1.0,2.019685780396685e-05
1.0,1.181402967631584e-05
1.0,1.4424724213313311e-05
1.0,4.179437837592559e-06
1.0,4.306995379010914e-06
1.0,9.062688377525774e-06
1.0,7.86245368544769e-06
1.0,1.4345773251989158e-05
1.0,9.057913075594115e-06
1.0,4.693807795774774e-06
1.0,4.393924314172182e-06
1.0,6.339046421999228e-06
1.0,2.3578461423312547e-06
1.0,3.4323855288675986e-05
1.0,9.89541013041162e-06
1.0,5.837896878801985e-06
1.0,1.9771929146372713e-05
1.0,7.900064247223781e-06
