accuracy,loss
1.0,0.09126179292798042
1.0,0.003193392069078982
1.0,0.005114478757604957
0.8,0.9656735956668854
1.0,0.00018606310186441988
1.0,0.005529312649741769
1.0,0.004732045810669661
1.0,0.0011045161227229983
1.0,2.0009917534480337e-05
1.0,0.00019732780492631719
1.0,6.138069329608697e-05
1.0,4.5468108510249294e-05
1.0,1.9058749785472173e-05
1.0,1.714731570245931e-05
1.0,1.9135428374283947e-05
1.0,1.538594960948103e-05
1.0,1.9382215214136522e-05
1.0,1.8308102880837396e-05
1.0,1.5494382296310505e-05
1.0,1.1940085641981568e-05
1.0,1.1549826922419015e-05
1.0,0.00022082820942159742
1.0,3.602820106607396e-05
1.0,1.8260028809891082e-05
1.0,0.002607930335216224
1.0,1.725590118439868e-05
1.0,2.0647235942305997e-05
1.0,2.343844789720606e-05
1.0,1.8330356851947727e-05
1.0,1.566811988595873e-05
1.0,1.1113862910860917e-05
1.0,2.0310056243033614e-05
1.0,1.559891734359553e-05
1.0,1.2475650692067575e-05
1.0,4.6956072765169665e-05
1.0,1.86860252142651e-05
1.0,1.207029345096089e-05
1.0,0.0005254935240373015
1.0,1.4894244941388024e-05
1.0,1.1243864264542935e-05
1.0,1.0340370863559656e-05
1.0,1.1713512776623247e-05
1.0,3.275559629400959e-05
1.0,7.775259746267693e-06
1.0,3.056192963413196e-05
1.0,1.682429592619883e-05
1.0,0.00010437491619086359
1.0,0.0004803661604455556
1.0,1.3256067177280784e-05
1.0,1.0235959507554071e-05
