accuracy,loss
0.9866666666666667,0.01996726138948849
1.0,0.02880069870138314
1.0,0.02117303747502042
1.0,0.00012996310222040003
1.0,6.306170313642147e-05
1.0,2.7707587211874097e-05
1.0,2.2755661802875693e-05
1.0,1.1879177932536461e-05
1.0,8.096163574092737e-06
1.0,5.743609525635714e-06
1.0,4.87545819382609e-06
1.0,4.4444346645893415e-06
1.0,6.001666070310753e-06
1.0,4.783731375338415e-06
1.0,2.7357430875471016e-06
1.0,1.904882962174647e-06
1.0,1.4575017026348222e-06
1.0,1.460389090264626e-06
1.0,1.385857996079422e-06
1.0,1.2937187328358915e-06
1.0,1.2436388370933466e-06
1.0,1.011120031496209e-06
1.0,9.788099120382368e-07
1.0,8.896760837416888e-07
1.0,8.152662604847437e-07
1.0,7.771868930097842e-07
1.0,7.437942849164978e-07
1.0,6.977727801305824e-07
1.0,6.67788546281383e-07
1.0,7.045377268038864e-07
1.0,6.683969671289615e-07
1.0,6.538677334645389e-07
1.0,6.470228654642259e-07
1.0,5.958110417394414e-07
1.0,5.773623898974733e-07
1.0,5.747658726631898e-07
1.0,5.639709292308186e-07
1.0,4.53626830516207e-07
1.0,2.714476153988733e-07
1.0,2.728987329556133e-07
1.0,2.6520591656628905e-07
1.0,2.7689041022076097e-07
1.0,2.745962410734237e-07
1.0,2.7055567906378513e-07
1.0,2.6977435958854226e-07
1.0,2.7203286798239665e-07
1.0,2.6548571451803444e-07
1.0,2.613699054694438e-07
1.0,2.643441164715875e-07
1.0,2.606496961463699e-07
