现在是在： cpu
epoch 1, train_loss 0.674412,test_loss 1.272207,train_acc 0.818828,test_acc 0.592719,time cost 749.091918
epoch 2, train_loss 0.449330,test_loss 0.937189,train_acc 0.903868,test_acc 0.784983,time cost 765.560455
epoch 3, train_loss 0.353638,test_loss 0.792513,train_acc 0.929181,test_acc 0.784983,time cost 696.427038
epoch 4, train_loss 0.299836,test_loss 0.717520,train_acc 0.928043,test_acc 0.784983,time cost 719.693796
epoch 5, train_loss 0.272649,test_loss 0.654047,train_acc 0.931741,test_acc 0.784983,time cost 698.237636
epoch 6, train_loss 0.241999,test_loss 0.611534,train_acc 0.933447,test_acc 0.784983,time cost 734.396753
epoch 7, train_loss 0.228532,test_loss 0.561120,train_acc 0.937998,test_acc 0.784983,time cost 692.865761
epoch 8, train_loss 0.211397,test_loss 0.523716,train_acc 0.941695,test_acc 0.784983,time cost 730.031427
epoch 9, train_loss 0.192799,test_loss 0.505902,train_acc 0.946530,test_acc 0.784983,time cost 717.464417
epoch 10, train_loss 0.192440,test_loss 0.474540,train_acc 0.943686,test_acc 0.784983,time cost 749.300334
epoch 11, train_loss 0.181309,test_loss 0.449794,train_acc 0.947668,test_acc 0.784983,time cost 726.012711
epoch 12, train_loss 0.171927,test_loss 0.418059,train_acc 0.951650,test_acc 0.784983,time cost 696.534154
epoch 13, train_loss 0.165599,test_loss 0.403420,train_acc 0.949659,test_acc 0.784983,time cost 707.985914
epoch 14, train_loss 0.157882,test_loss 0.381274,train_acc 0.951934,test_acc 0.784983,time cost 741.250613
epoch 15, train_loss 0.153307,test_loss 0.362079,train_acc 0.951934,test_acc 0.784983,time cost 736.260153
epoch 16, train_loss 0.146901,test_loss 0.345342,train_acc 0.955063,test_acc 0.784983,time cost 706.842717
epoch 17, train_loss 0.141731,test_loss 0.327725,train_acc 0.959044,test_acc 0.784983,time cost 718.969222
epoch 18, train_loss 0.140940,test_loss 0.315872,train_acc 0.958476,test_acc 0.784983,time cost 712.796693
epoch 19, train_loss 0.132160,test_loss 0.287189,train_acc 0.962173,test_acc 0.784983,time cost 725.557900
epoch 20, train_loss 0.127968,test_loss 0.282459,train_acc 0.960466,test_acc 0.784983,time cost 743.262875
epoch 21, train_loss 0.129135,test_loss 0.269543,train_acc 0.959329,test_acc 0.784983,time cost 699.073415
epoch 22, train_loss 0.122703,test_loss 0.257230,train_acc 0.961320,test_acc 0.784983,time cost 736.770658
epoch 23, train_loss 0.121015,test_loss 0.244819,train_acc 0.966155,test_acc 0.784983,time cost 727.709752
epoch 24, train_loss 0.118185,test_loss 0.231628,train_acc 0.963595,test_acc 0.784983,time cost 713.742614
epoch 25, train_loss 0.115323,test_loss 0.225599,train_acc 0.966724,test_acc 0.784983,time cost 735.518864
epoch 26, train_loss 0.117959,test_loss 0.212265,train_acc 0.961320,test_acc 0.788396,time cost 729.116351
epoch 27, train_loss 0.110449,test_loss 0.206844,train_acc 0.969852,test_acc 0.789534,time cost 733.424426
epoch 28, train_loss 0.111705,test_loss 0.202593,train_acc 0.969283,test_acc 0.791809,time cost 710.709826
epoch 29, train_loss 0.107915,test_loss 0.195484,train_acc 0.968999,test_acc 0.803185,time cost 741.693657
epoch 30, train_loss 0.105181,test_loss 0.184701,train_acc 0.970137,test_acc 0.878271,time cost 715.912898
epoch 31, train_loss 0.103472,test_loss 0.177955,train_acc 0.970421,test_acc 0.954494,time cost 717.556576
epoch 32, train_loss 0.104647,test_loss 0.171216,train_acc 0.967861,test_acc 0.979522,time cost 711.986887
epoch 33, train_loss 0.101888,test_loss 0.164635,train_acc 0.969852,test_acc 0.996587,time cost 723.897822
epoch 34, train_loss 0.099753,test_loss 0.151714,train_acc 0.970137,test_acc 1.000000,time cost 706.005223
epoch 35, train_loss 0.099109,test_loss 0.143944,train_acc 0.972981,test_acc 1.000000,time cost 715.919508
epoch 36, train_loss 0.099991,test_loss 0.155451,train_acc 0.971843,test_acc 1.000000,time cost 731.353519
epoch 37, train_loss 0.097246,test_loss 0.139433,train_acc 0.976109,test_acc 1.000000,time cost 719.250345
epoch 38, train_loss 0.097381,test_loss 0.133511,train_acc 0.971559,test_acc 1.000000,time cost 729.178235
epoch 39, train_loss 0.093872,test_loss 0.131119,train_acc 0.974972,test_acc 1.000000,time cost 714.502667
epoch 40, train_loss 0.097735,test_loss 0.131072,train_acc 0.973834,test_acc 1.000000,time cost 709.923669
epoch 41, train_loss 0.092454,test_loss 0.119632,train_acc 0.975825,test_acc 1.000000,time cost 710.845820
epoch 42, train_loss 0.092899,test_loss 0.120922,train_acc 0.974687,test_acc 1.000000,time cost 728.564680
epoch 43, train_loss 0.090035,test_loss 0.108899,train_acc 0.972412,test_acc 1.000000,time cost 715.662082
epoch 44, train_loss 0.089052,test_loss 0.108025,train_acc 0.976109,test_acc 1.000000,time cost 731.804880
epoch 45, train_loss 0.089682,test_loss 0.111833,train_acc 0.976678,test_acc 1.000000,time cost 716.152872
epoch 46, train_loss 0.087922,test_loss 0.100508,train_acc 0.977247,test_acc 1.000000,time cost 750.836223
epoch 47, train_loss 0.086074,test_loss 0.099835,train_acc 0.978385,test_acc 1.000000,time cost 715.184141
epoch 48, train_loss 0.086298,test_loss 0.098969,train_acc 0.976109,test_acc 1.000000,time cost 762.596943
epoch 49, train_loss 0.082045,test_loss 0.084346,train_acc 0.977247,test_acc 1.000000,time cost 744.102353
epoch 50, train_loss 0.081356,test_loss 0.088943,train_acc 0.980660,test_acc 1.000000,time cost 723.296843
