现在是在： cpu
epoch 1, train_loss 0.482095,test_loss 0.872436,train_acc 0.871445,test_acc 0.596132,time cost 736.959917
epoch 2, train_loss 0.188421,test_loss 0.205100,train_acc 0.964448,test_acc 0.998862,time cost 747.375558
epoch 3, train_loss 0.091050,test_loss 0.075004,train_acc 0.996303,test_acc 1.000000,time cost 689.854892
epoch 4, train_loss 0.061365,test_loss 0.042786,train_acc 0.999431,test_acc 1.000000,time cost 699.886191
epoch 5, train_loss 0.046364,test_loss 0.029404,train_acc 1.000000,test_acc 1.000000,time cost 681.535618
epoch 6, train_loss 0.036754,test_loss 0.021845,train_acc 1.000000,test_acc 1.000000,time cost 728.392186
epoch 7, train_loss 0.031204,test_loss 0.017708,train_acc 1.000000,test_acc 1.000000,time cost 687.885031
epoch 8, train_loss 0.026731,test_loss 0.014774,train_acc 1.000000,test_acc 1.000000,time cost 719.038436
epoch 9, train_loss 0.022826,test_loss 0.012824,train_acc 1.000000,test_acc 1.000000,time cost 700.262303
epoch 10, train_loss 0.021481,test_loss 0.011167,train_acc 1.000000,test_acc 1.000000,time cost 744.167026
epoch 11, train_loss 0.018751,test_loss 0.009967,train_acc 1.000000,test_acc 1.000000,time cost 721.785991
epoch 12, train_loss 0.017502,test_loss 0.008875,train_acc 1.000000,test_acc 1.000000,time cost 695.627659
epoch 13, train_loss 0.015544,test_loss 0.008068,train_acc 1.000000,test_acc 1.000000,time cost 691.992660
epoch 14, train_loss 0.015016,test_loss 0.007355,train_acc 1.000000,test_acc 1.000000,time cost 736.055907
epoch 15, train_loss 0.014273,test_loss 0.006773,train_acc 1.000000,test_acc 1.000000,time cost 735.149861
epoch 16, train_loss 0.013209,test_loss 0.006267,train_acc 1.000000,test_acc 1.000000,time cost 701.511745
epoch 17, train_loss 0.011945,test_loss 0.005836,train_acc 1.000000,test_acc 1.000000,time cost 697.694416
epoch 18, train_loss 0.011453,test_loss 0.005490,train_acc 1.000000,test_acc 1.000000,time cost 697.338918
epoch 19, train_loss 0.011706,test_loss 0.005146,train_acc 1.000000,test_acc 1.000000,time cost 704.787150
epoch 20, train_loss 0.010299,test_loss 0.004837,train_acc 1.000000,test_acc 1.000000,time cost 725.553631
epoch 21, train_loss 0.009904,test_loss 0.004572,train_acc 1.000000,test_acc 1.000000,time cost 693.887301
epoch 22, train_loss 0.009870,test_loss 0.004328,train_acc 1.000000,test_acc 1.000000,time cost 716.768867
epoch 23, train_loss 0.009036,test_loss 0.004115,train_acc 1.000000,test_acc 1.000000,time cost 712.000501
epoch 24, train_loss 0.008258,test_loss 0.003919,train_acc 1.000000,test_acc 1.000000,time cost 698.162027
epoch 25, train_loss 0.008366,test_loss 0.003733,train_acc 1.000000,test_acc 1.000000,time cost 736.551860
epoch 26, train_loss 0.008318,test_loss 0.003569,train_acc 1.000000,test_acc 1.000000,time cost 695.922254
epoch 27, train_loss 0.007855,test_loss 0.003415,train_acc 0.999716,test_acc 1.000000,time cost 741.680482
epoch 28, train_loss 0.007500,test_loss 0.003276,train_acc 1.000000,test_acc 1.000000,time cost 682.612526
epoch 29, train_loss 0.007205,test_loss 0.003150,train_acc 1.000000,test_acc 1.000000,time cost 738.172709
epoch 30, train_loss 0.007265,test_loss 0.003030,train_acc 1.000000,test_acc 1.000000,time cost 705.374453
epoch 31, train_loss 0.006952,test_loss 0.002918,train_acc 1.000000,test_acc 1.000000,time cost 700.738375
epoch 32, train_loss 0.006870,test_loss 0.002818,train_acc 1.000000,test_acc 1.000000,time cost 702.495786
epoch 33, train_loss 0.006577,test_loss 0.002719,train_acc 1.000000,test_acc 1.000000,time cost 726.748278
epoch 34, train_loss 0.006121,test_loss 0.002628,train_acc 1.000000,test_acc 1.000000,time cost 686.867502
epoch 35, train_loss 0.005865,test_loss 0.002539,train_acc 1.000000,test_acc 1.000000,time cost 710.534547
epoch 36, train_loss 0.005926,test_loss 0.002453,train_acc 1.000000,test_acc 1.000000,time cost 724.995780
epoch 37, train_loss 0.005948,test_loss 0.002381,train_acc 1.000000,test_acc 1.000000,time cost 699.306231
epoch 38, train_loss 0.005483,test_loss 0.002312,train_acc 1.000000,test_acc 1.000000,time cost 723.076465
epoch 39, train_loss 0.005440,test_loss 0.002243,train_acc 1.000000,test_acc 1.000000,time cost 703.044568
epoch 40, train_loss 0.005868,test_loss 0.002180,train_acc 1.000000,test_acc 1.000000,time cost 687.388055
epoch 41, train_loss 0.005205,test_loss 0.002120,train_acc 1.000000,test_acc 1.000000,time cost 681.403033
epoch 42, train_loss 0.005123,test_loss 0.002061,train_acc 1.000000,test_acc 1.000000,time cost 688.092439
epoch 43, train_loss 0.005191,test_loss 0.002007,train_acc 1.000000,test_acc 1.000000,time cost 737.237589
epoch 44, train_loss 0.004925,test_loss 0.001956,train_acc 1.000000,test_acc 1.000000,time cost 681.236756
epoch 45, train_loss 0.004799,test_loss 0.001908,train_acc 1.000000,test_acc 1.000000,time cost 727.275638
epoch 46, train_loss 0.004883,test_loss 0.001860,train_acc 1.000000,test_acc 1.000000,time cost 715.873910
epoch 47, train_loss 0.004595,test_loss 0.001810,train_acc 1.000000,test_acc 1.000000,time cost 740.483340
epoch 48, train_loss 0.004647,test_loss 0.001767,train_acc 1.000000,test_acc 1.000000,time cost 706.856189
epoch 49, train_loss 0.004850,test_loss 0.001730,train_acc 1.000000,test_acc 1.000000,time cost 782.305435
epoch 50, train_loss 0.004211,test_loss 0.001689,train_acc 1.000000,test_acc 1.000000,time cost 772.985762
